index,Dominant_Topic,Percent_Contribution,Important_Keywords,Mission
11,0.0,0.7565000057220459,"art, commun, youth, artist, program, work, provid, develop, perform, peopl","aanmitaagzi is a multi-disciplinary professional artist-run company serving artists and community members from nipissing first nation and the surrounding area, and linked to provincial and national networks. we are committed to fostering a vibrant arts community in nipissing, nurturing traditional aboriginal arts practices which span a middle ground between professional and community arts, and exploring how we can carry forward our traditional practices in a meaningful contemporary context. aanmitaagzi combines art making, education, professional development & social activism.


vision: we believe that through the arts we can...

- transcend everyday communication

- impact our community in a powerful and meaningful way

- share, celebrate, express and recover our culture

- provide a forum for elders to tell their stories

- engage youth with their communities and traditions

- assist people to discover, explore and express their voices

- foster greater dialogue amongst people of all ages and backgrounds

- imagine and create the community in which we want to live

- forge a healthier relationship with our canadian neighbours


values: our art

- includes all ages: children, families, youth, elders, adults

- is comfortable in dedicated arts spaces and around the kitchen table

- happens indoors and outdoors and responds to the cycle of seasons

- is rooted in collaboration, tradition and exploration

- respects and nurtures artistic skills, abilities and expertise

- welcomes all abilities, experience and confidence levels and interests. community members of the nipissing first nation, north bay and the surrounding area. of special focus are aboriginal and intergenerational participants. first nation: anishinabe, mohawk, sto:lo


brief history:

aanmitaagzi has grown from a convergence of the personal and professional histories of its core members, while remaining true to the initial vision of its co-founders, penny couchie and sid bobb. when penny and sid moved to penny's ancestral home of nipissing first nation in 2006, they welcomed the possibility of living and working as professional artists to support a thriving arts community in nipissing and the surrounding communities. they recognized the benefits of developing and maintaining relationships and partnerships with like-minded groups, and the potential for nipissing to become a home for research, development, and the creation of new works in dance, theatre, and cross-disciplinary arts with both professional and community artists.


following the success of their first community engaged arts project, stories of nipissing, and with positive feedback and support from the community, penny and sid formed the aanmitaagzi collective with carol guppy and perry mcleod shabogeesic in 2008. in 2009, after conducting strategic outreach in bear island / temagami, sherry guppy and bonnie couchie also joined the company. identifying the need for a strong organizational foundation for the future of the company, aanmitaagzi sought out capacity building initiatives, including a mentorship in organizational development with ruth howard of jumblies theatre funded through the oac compass program and canada council for the arts' capacity building program. aanmitaagzi incorporated as a provincial, not-for-profit organization in october 2010, and continues to engage the local community through multi-disciplinary and multi-generational arts activities and cultural events."
12,4.0,0.9264000058174133,"aborigin, art, urban, youth, commun, artist, program, focu, cultur, live","our program seeks to protect endangered aboriginal arts and their makers, employ logistically and financially challenged artists and empower the next generation of artistic leaders. 


we believe that access to to quality programming and infrastructure is key to changing economically and logistically vulnerable aboriginal artists and craftspeople. appropriate spaces creates community engagement and facilitates the transfer of cultural knowledge to the next generation.


our classroom art and knowledge exchange program creates exciting friendships between aboriginal students and their peers in non-aboriginal or multi-cultured classrooms via a pen pal and art exchange program.


the exchange program enables educators to approach first nations culture via transparent lesson plans and creates informed opinions of first nations culture in canada. pass the feather classroom art & knowledge exchange program is open to all federally and provincially funded classrooms.  on-reserve classrooms from grades 5-8 are paired with peers in the public school sector. 


pass the feather employs home makers, disabled and logistically and financially challenged artists and crafters to produce product for fundraising sales. all on-reserve artists are able to apply.


we also have a free website where fnmi artists can post their bio, pictures and contact info."
13,1.0,0.5508000254631042,"commun, art, nation, cultur, indigen, danc, work, artist, first, workshop","the adaka cultural festival was launched in july 2011, with a mission to develop and deliver a world-class, iconic festival that showcases, celebrates, and fosters the development of yukon the adaka cultural festival features close to 250 performing artists, 80 visual artists and 35 knowledge keepers, presenters, and film makers. 



with a capacity of 400 people, the festival main stage presents 42 hours programming including traditional dance and drumming, fiddling and jigging, film screenings, a cooking show, storytelling, award winning singer/songwriters, as well as film screenings. over 35 cultural presentations are offered throughout the week. the presentations attracted a wide range of audiences, on such subjects as; traditional watercraft of the north, traditional languages, land-based culture, traditional watercraft, regalia, the spirit of plants, contemporary indigeneity, and dene hand games."
14,5.0,0.977400004863739,"art, program, commun, school, artist, disabl, organ, youth, engag, public","dramatic change is a non-profit organization working to empower communities in canada and abroad through participatory arts processes reflecting the culture, desires, and life experiences of the people in the community. main art projects: in canada we are running cross-generation conversations (niagara) and the world of aac (north yorkers disabled persons, toronto)

main arts activities: to facilitate the accessibility of theatre, and art as powerful forces for change, particularly to those in marginalized communities. to work on artistically challenging projects where community and cultural dialogue remain at the core.we also conduct evaluations and/or research in collaboration with all of our community partners to monitor and evaluate effectiveness, improve knowledge translation, and inform the work of stakeholders. project profile: cross "
15,1.0,0.2833999991416931,"commun, art, nation, cultur, indigen, danc, work, artist, first, workshop","our vision is to have a positive impact on the overall health and wellbeing of professional creative and performing artists.

our mission is to advance local, national and international standards of excellence in health care for professional artists through our activity in:

 the al and malka green artists"
16,0.0,0.43880000710487366,"art, commun, youth, artist, program, work, provid, develop, perform, peopl","to promote and provide a platform for aboriginal artists to perform or showcase their work. annual rubaboo arts festival, dance and theatre performances, development of new works."
17,5.0,0.8924999833106995,"art, program, commun, school, artist, disabl, organ, youth, engag, public","to enhance the cognitive, physical, social and emotional life of children and youth through engaging in the arts. provide integrated arts activities "
18,0.0,0.9595000147819519,"art, commun, youth, artist, program, work, provid, develop, perform, peopl","to provide positive community level, artistic programming that allows youth living in regina, at no cost to them, to access opportunities to collaborate with professional artists to create artistic products and projects.we strive to empower youth to: tell their stories in their own voices, build skills, develop confidence, pride, and self-esteem, achieve success and participate in their community."
19,5.0,0.4634999930858612,"art, program, commun, school, artist, disabl, organ, youth, engag, public","we focus primarily on presenting the work of artists who identify as deaf, disabled, hard of hearing, mad, mentally ill, autistic, neurodiverse, or chronically ill. our mission is:

- to create community surrounding stories of hope and resilience, and to give a platform to those who have felt unheard or excluded

- to offer a space that encourages engagement through inclusive interpretation and interactive pieces for mixed abilities

- to showcase and promote the works of mixed abilities artists from varied experience and backgrounds"
20,0.0,0.9458000063896179,"art, commun, youth, artist, program, work, provid, develop, perform, peopl","the goal of the project is to create 30 murals, in the gta, that depict each of the 30 human rights articles in the universal declaration of human rights.  the project engages mural artists, local community projects and young people who, together, help raise public awareness about human rights issues worldwide."
21,0.0,0.9768000245094299,"art, commun, youth, artist, program, work, provid, develop, perform, peopl","to advance fine craft & art in nl. to provide craft & art training & education through evening classes, weekend workshops, and special events. classes for adults and kids, with day camps during easter break and throughout july and august.

note: the anna templeton centre tries their best to keep fees for classes, camps, events reasonable and accessible. however, as a not-for-profit charity, they generate revenue by offering craft & art classes as they do not receive any government funding.  a small number of scholarships are available for their adult classes (please contact the anna templeton centre for more information).  they also do work with the real program to place children in our young artist program with the help of the real program (organized by the city of st. john"
22,0.0,0.7434999942779541,"art, commun, youth, artist, program, work, provid, develop, perform, peopl","community arts: engaging, empowering, transforming. past projects have included: community murals, performances of plays reflecting community issues, video and music projects."
23,0.0,0.6191999912261963,"art, commun, youth, artist, program, work, provid, develop, perform, peopl","art city in st. james town opened its doors on december 2000 as a not-for-profit organization committed to providing after school art programs to children of elementary school age. the art programs are intended to foster creative thinking and nurture self-esteem and personal accomplishment. since the fall of 2008 we have developed studio programs for the youth of this community. the studio is in a storefront space located beneath a high-rise apartment complex. it is highly visible and accessible. the space provides a safe non-discriminatory environment, dedicated to providing opportunities for the young people of st. james town. we invite input and feedback from the parents, caregivers and other community members that influence and participate in the everyday lives of these children."
24,0.0,0.902999997138977,"art, commun, youth, artist, program, work, provid, develop, perform, peopl","its mandate is to provide high quality, free-of-charge, art programming to participants of all ages. the arts offered are visually focused and performative and include: drawing, painting, pottery, photography, digital art, hip-hop dance, music, video, screen-printing, sculpture and more."
25,0.0,0.4986000061035156,"art, commun, youth, artist, program, work, provid, develop, perform, peopl","art forms youth art studio works with youth to build their skills, community, and future through the arts.  we are an arts organization driven by youth.  we work with youth who face barriers. through engagement with the arts, hamilton"
26,2.0,0.9775000214576721,"commun, art, artist, program, creativ, studio, children, provid, member, particip","art happening bridgewater's mission is to create a buzzing hive of creativity and culture for bridgewater which begins with a drop in space for artists and families of all ages to socialize, meet other artists, practice and share their talents and skills; and will ripple out to other creative initiatives in the community. inclusive:

we are all artists, and so, we are inclusive of all ages, race, gender, incomes, abilities etc.

all teachers all learners:

we all have skills and talents. everyone has something to teach and something to learn.



sustainability and revitalization:

we are committed to revitalizing the downtown core of bridgewater and linking to the town's work in community sustainability



build resiliency:

we value building individual and community resiliency and in so doing we build a stronger and healthier community for all.



connection to the natural world:

we hold a responsibility for, and building our connections to, the natural world through creativity in our environment"
27,3.0,0.9660999774932861,"art, commun, space, stori, cultur, creativ, share, peopl, togeth, creat","the mandate of the east danforth creative collective is to unify the various cultural and socio-economic communities in the danforth east neighbourhood through creation of art and transforming our communal space in imaginative ways. art of the danforth: a three week festival presenting a variety of free public art displays and activities to, for and by the community of east toronto.

dates: see website for schedule.

including: public art installations, art in stores, walking tours, free workshops & performances."
28,6.0,0.6995000243186951,"commun, art, creativ, women, workshop, write, program, experi, creat, provid","to provide a safe and non-judgemental environment where members of the community can come together to be creative in hopes of enhancing their mental well-being and happiness. open studio once a month - bring your own projects to work on

creative drop in night at essex library once month - all materials supplied"
29,0.0,0.8431000113487244,"art, commun, youth, artist, program, work, provid, develop, perform, peopl","art starts inspires and cultivates social change by bringing professional artists and toronto residents together to create community-building art projects in all artistic disciplines.

art starts uses the arts as a medium for engaging residents, creating a shared sense of identity, identifying challenges and collectively working to overcome them. our collaborative approach to art-making results in programs that celebrate communities, foster collaboration and responds to local needs in under-resourced neighbourhoods."
30,3.0,0.9779999852180481,"art, commun, space, stori, cultur, creativ, share, peopl, togeth, creat","to help aid and raise awareness about mental health issues through the use of photography of vibrant images from around the world. art with heart has completed numerous projects since its conception. the first one was completed at a city of toronto nursing home, where we donated a handmade photo book. the success of this photo book at sparking conversation and strengthening the bonds between the residents and volunteers inspired us to start an indiegogo campaign. 



through that campaign, we raised $1815, which was used to make 30 full-colour photo books, pay for our website, and register as an official non-profit organization. the rest of the money will be used for our future projects. so far, we have donated 6 photo books to the mishkeegogamang first nations community, and 2 large photo plaques to the sexual assault centre of hamilton. 



we hope to increase our outreach not only in toronto, but also on a global scale."
31,2.0,0.982699990272522,"commun, art, artist, program, creativ, studio, children, provid, member, particip","""healing and empowerment through creative endeavour""



vision

to enable consumers of mental health services to engage in artistic expression that promotes recovery, empowerment and community.



mission

to provide studio space, community and opportunity for creative initiative to facilitate mental, spiritual and economic health.



guiding principles

studio space and mentorship is offered free of charge

we respect and value each individual person

we focus on the process of art making and personal development

we are committed to: a holistic approach to mental, economic, spiritual, physical, social and emotional health supportive, peaceful, non-censoring environment supporting alumni in personal growth and creative endeavours

promoting healthy communication and interpersonal relationships

enriching support system for each individual. services are provided free of charge to participants. the intended beneficiaries include each participant artist, their caregivers, the local inner city community, and society as a whole."
32,0.0,0.9804999828338623,"art, commun, youth, artist, program, work, provid, develop, perform, peopl","for over two decades artheart has been a stabilizing presence in the community of regent park.  we provide free visual arts education, programs, materials and a nutritious meal to children, youth, adults and seniors living in regent park and the surrounding neighbourhoods.



our mission is to provide participants with a supportive environment in which they can create and learn, build self-esteem and develop life skills. by putting their hands and imaginations to work, our participants are empowered to improve their quality of life. artheart offers art workshops after school, in the evenings, throughout the summer and on sunday afternoons.  programs and materials are free of charge.

participants learn about everything from print making, computer graphics, crafts, woodworking, fine arts, ceramics, textiles and much more.

throughout the year, some of the artheart participants enter their artwork in local and city-wide art contests. many participants have won awards of distinction as well as monetary prizes.

artheart"
33,4.0,0.9347000122070312,"aborigin, art, urban, youth, commun, artist, program, focu, cultur, live","the artists in 1997, a group of artists came together committed to enhancing the wellbeing of professional performing and creative artists as well as students in, and teachers at, recognized post-secondary arts institutions. the artists what is the difference between the artists"
34,0.0,0.6901000142097473,"art, commun, youth, artist, program, work, provid, develop, perform, peopl","artreach toronto is a program designed to support arts initiatives that engage youth who have experienced exclusion in under-served areas of toronto. a guiding principle for artreach toronto is the idea that funding needs to be accessible to youth directly and it needs to empower youth by placing ownership of projects in their hands. artreach toronto encourages youth to take the lead in defining what art means to them and what they need from the program to achieve their goals. both the structure and processes in place at artreach toronto represent a growing awareness that a new way of funding and working with youth is needed. from the beginning, young people have played a significant part in the development of artreach toronto, and continue to be involved in the process. artreach invests in arts initiatives developed by young people living in vulnerable communities. artreach uses a  over the past five years, 2,400 young people have been engaged in over 90 arts initiatives and projects, funded by artreach toronto, including visual arts, music, dance, theatre, writing and publishing, and multi-disciplinary arts including fashion design.



vimeo page: https://vimeo.com/artreachtoronto

youtube page: http://www.youtube.com/user/artreachtoronto?feature=watch"
35,0.0,0.9889000058174133,"art, commun, youth, artist, program, work, provid, develop, perform, peopl","the long term goal of the project is to facilitate strong and healthy communities that engage seniors as full and active participants in the arts, and that value the arts as a key contributor to the health of all people. 

the project strives to maintain and improve the well-being and health of vulnerable seniors through active, ongoing participation in community-based arts practices facilitated by professional artists from different arts disciplines. 



the expansion of the site delivery program and the development of on-line resource packages over the next few years will support healthy aging and professional development across bc. the project provides community-engaged arts programming for targeted communities of vulnerable seniors, led by a professional artist. the seniors and artists work together to develop work that is important to them. 



different than a classroom dynamic, this project is a working collaboration that draws on the skills and experience of everyone within the group. the project is free of charge. the project is coordinated through the arts, culture and environmental art office of the vancouver board of parks & recreation and is affiliated with british columbia. four groups of seniors and artists work within the our current three year mentorship initiative at sites across vancouver and north vancouver.

project alumni elders and seniors' groups continue at work across the area and participate in our annual showcase exhibition and presentation in june each year at the roundhouse community arts and recreation centre. please seeartsandhealthproject.com for ongoing project updates."
36,5.0,0.9753999710083008,"art, program, commun, school, artist, disabl, organ, youth, engag, public","mission: a non profit organization that enriches the quality of life for all by strengthening the arts and the community through leadership, education and promotion.



vision:  support artists and arts organizations in windsor and essex county to fulfill their creative business potential

 place arts, culture and creativity at the heart of economic development

 make the arts a centerpiece of windsor and essex county life



values:

 leadership - we advocate for our creative community

 inclusive - we reflect audience and creative community diversity

 innovative - we support new and innovative art and artists

 open & accountable - we are consultative and goal oriented

 sustainable - we encourage and develop social, cultural and economic benefit for our community the acwr"
37,0.0,0.7479000091552734,"art, commun, youth, artist, program, work, provid, develop, perform, peopl","our mission is to support local artists and develop accessible, meaningful arts experiences for the residents of etobicoke and beyond. our vision is to expand our ""creative footprint"" and transform lives by invigorating, connecting, and empowering our diverse community through the arts. established in 1973 to provide a united voice for the local arts community, we are recognized as one of canada's finest community arts councils. we are proud to support established and aspiring artists of all ages and backgrounds with a broad variety of activities and services, including arts education, advocacy, community space and much more."
38,5.0,0.9763000011444092,"art, program, commun, school, artist, disabl, organ, youth, engag, public","the goal of arts health network canada (ahnc) is to bring arts and health activities into the mainstream of canadian life so that all canadians are able to engage in the arts to enhance their health, well-being, and improve their quality of life. the network engages arts/health users, organizations, decision makers, and the broader public to understand and support the connections between health and arts-based activities, as well as the multitude of ways that the arts can contribute to lowering costs, increasing effectiveness, and supporting the sustainability of our public health care system. we are also the primary source of arts and health information and resources in canada, providing a platform for arts and health knowledge translation."
39,3.0,0.7504000067710876,"art, commun, space, stori, cultur, creativ, share, peopl, togeth, creat","artscan circle is a charitable organization with a mission to encourage the self-esteem of indigenous youth in isolated canadian communities through a cooperative exploration of the arts. interactive workshops in various aspects of art, music, drama. youth engaged in hands-on programming in the arts - singing, songwriting, writing plays, puppetry, visual arts, learning to play musical instruments. musical instruments are donated to each participating community to ensure youth have access to instruments."
40,5.0,0.9854999780654907,"art, program, commun, school, artist, disabl, organ, youth, engag, public","the arts express program was established specifically for the 10 schools feeding into j.l.ilsley high school in spryfield, halifax, in order to allow for a stronger arts support within this unique family of schools. the program has been supported by the department of education and the school principals of this area since 2002 when the following mandate for the position had been established:  

 direct support for existing arts programs and development of new arts initiatives.  

 coordination of arts partnerships between schools and community.  

 access to external sources of funding through available arts grants to enrich school and classrooms programs, as well as arts opportunities ranging from students with special needs to disadvantaged kids as well as gifted students. 

 emphasis on ""prevention and intervention' by creating unique arts initiatives for students with diverse learning styles and those who are otherwise disengaged from our public schools."" some of our recent highlights public art projects include the following: 

installation of mosaic mural at a captain spry community centre skate park, in partnership with hrm the components for the arts express program include: 

writing and coordination of a wide range of applications for arts funding from a variety of foundations, governments programs and private as well as corporate sources. 

scouting for artists suitable for "
41,4.0,0.5364000201225281,"aborigin, art, urban, youth, commun, artist, program, focu, cultur, live","to create community mural projects with youth. workshops and site specific art projects with northern, including fly-in remote, communities that may have limited access to arts programming. ongoing workshops facilitated by resident guest artist at black bird studio.





current: lead contractor for 'graffiti reframed,' a youth mural project by the arts council of sault ste. marie & district and nordik institute. between september - october 2014 three large-scale murals will be completed in the downtown core of sault ste. marie.





past: black bird north arts is currently working with mississauga first nation located in blind river, ontario. the youth mural project collaborates with an elder http://blackbirdnorthart.tumblr.com/"
42,6.0,0.9638000130653381,"commun, art, creativ, women, workshop, write, program, experi, creat, provid","broken city lab is an artist-led interdisciplinary collective and non-profit organization working to explore and unfold curiosities around locality, infrastructures, education, and creative practice leading towards civic change. our projects, events, workshops, performances, and interventions offer a sometimes momentary, sometimes extended, injection of creativity into a situation, surface, place, or community. these projects continually connect various disciplines through research and social practice, generating works and interventionist tactics that adjust, critique, annotate, and re-imagine the city that we encounter."
43,0.0,0.975600004196167,"art, commun, youth, artist, program, work, provid, develop, perform, peopl","its mandate is to provide art classes, music instruction, karate and summer camp to children in the ccac the music classes offered are piano, violin, guitar, saxophone, flute, and drums. music theory, visual arts and karate are taught in group classes. their summer camp offers lots of arts and crafts as well as field trips around the city to attractions such as: the zoo, casa loma, and the royal ontario museum. classes are mostly available through registration, few are drop-in. on sunday evenings the centre offers a coffee house wherein people can play music and recite poetry. fees for classes are determined through a sliding scale and about 75% of the students require subsidies. the centre holds 3 recitals a year and showcases the participants the cabbagetown community arts centre (ccac) is a community arts charitable organization that was founded in 1979 by david blackmore and tommy oki."
44,0.0,0.9657999873161316,"art, commun, youth, artist, program, work, provid, develop, perform, peopl","mandate

cahoots theatre investigates and examines the complexities of diversity through the creation and production of new theatre works, development of professional artists and the engagement of communities.



vision

cahoots is a leader in the theatrical community, providing a much needed home for the voice of the  the deaf artists & theatres toolkit (datt) serves as a resource to increase the feasibility of collaborations between professional theatre companies and deaf artists as well as to increase engagement with deaf audiences. this online toolkit provides a guide for theatre companies and is informed by cahoots theatre"
45,2.0,0.9901999831199646,"commun, art, artist, program, creativ, studio, children, provid, member, particip","founded in 1987, canadian stage is one of the country pay what you can tuesdays



offered for tuesday night performances only (previously available monday nights). tickets must be purchased in person at the box office of the performance on the day of performance. 4 tickets per person; limited number of pwyc seats available. sales begin no earlier than 10 am. subject to availability. a contribution of $20 is recommended.



c-stage under 30 savings



under 30? see shows at canadian stage for less. join c-stage, our ticket savings program for theatre lovers aged 29 and under, and get theatre tickets for just $15 (taxes and fees included). visit www.canadianstage.com/online/intermission to join.



rush tickets



50% off the top ticket price, available on the day of the performance, one hour prior to show time. tickets are subject to availability and must be purchased in person at the box office of the performance.



shakespeare in high park



a toronto summer tradition. pay-what-you-can at the gate.



canadian stage rbc emerging artist program



the canadian stage rbc emerging artist program (formerly the gymnasium program or gym) is a free program for emerging artists and arts professionals. members are invited to free panel discussions and workshops led by guest artists and administrators on topics related to skill development and ongoing training. members also receive our regular e-newsletter, the relay, which includes workshop opportunities, ticket deals, show listings, job postings, and more.



to become a member, please contact artistic coordinator meghan hunt at artisticadmin@canadianstage.com with your name, address, email, phone number, and a short statement expressing your interest in the program. once you are a member, you will receive regular updates with upcoming program sessions, notices from the membership, and special offers. there is no cost associated with becoming a member or participating in program sessions.



masterclass



experiences for local artists facilitated by the international creators and practitioners who are featured in our season, creating a lasting canadian stage legacy in toronto"
46,0.0,0.8712999820709229,"art, commun, youth, artist, program, work, provid, develop, perform, peopl","at the heart of canvas is a commitment to supporting youth in developing critical thinking, embracing different identities and challenging harmful social norms. through our programs, youth develop creative tools to challenge gender-based violence and bullying, and create an environment where they can feel comfortable and confident in their gender, their sexuality and their body. canvas workshops are designed to enable and encourage youth to be creators of social change. we believe their ideas and efforts will have the strongest influence on our society. by using art to educate, these difficult topics become more accessible and engaging, and youth are able to creatively share their own ideas and create unique social action projects. youth can also develop skills in various art forms, including theatre, spoken word poetry, photography and visual art.



canvas programs cover an assortment of topics, including body esteem, gender identity, sexual orientation, consent, healthy relationships and the effect of social media. each workshop culminates with the creation of an arts-based social action project that can be shared with the wider community. our unique youth programs are intended to be run in schools, camps and community centres. the programs are designed to fit the needs of each different environment and group of young people; the length, focus and depth vary between programs. 



our programs fall into the following four categories:

1.  school programs

2.  post-secondary programs

3.  camp programs

4.  community-based programs"
47,0.0,0.5066999793052673,"art, commun, youth, artist, program, work, provid, develop, perform, peopl","the charlotte street arts centre opens the doors of creative expression to all. the charlotte street arts centre is a focal point for creation, education and presentation in the arts. our facility features several galleries, including five visual arts galleries, a new media gallery, a backyard culture garden with sculpture and a gazebo, an auditorium with a grand piano and a multipurpose room for short-term rentals as well as 22 permanent tenants, including provincial organizations in the arts, independent artists and cultural groups. we also feature a belgian cafe in the basement. our cornerstone artreach program offers free arts-based workshops to marginalized groups in the province, through our ongoing partnerships with other helping organizations."
