Name,Mission,Country
"The Rose Kennedy Greenway","Public Art Meets Boston’s Contemporary Park

In 1991, the Massachusetts Turnpike Authority began one of the most challenging and substantial changes to the Boston landscape, the Central Artery/Tunnel project, or the Big Dig. Although this project eventually succeeded in easing downtown traffic congestion, the Big Dig put Boston into a state of upheaval for almost sixteen years. Despite all of their trials, the city, state, MTA, and various civic groups came together to create something new: a park that would cover over the scar of the old Central Artery and open up new space for Boston residents. The Greenway, stretching from New Sudbury Street in the North End to Beach Street in Chinatown, re-connected old neighborhoods that were once separated by the elevated highway. Inaugurated in 2008 and named for Rose Fitzgerald Kennedy, the Rose Kennedy Greenway is an important part of the city’s efforts to reinvent Boston in the 21st century. The Greenway has helped beautify the city, encourage a sense of community and create civic space. Today the park is home to water features, food trucks, free public Wi-Fi, a carousel, free events and a public art program. This little ribbon of green is a refuge for urban residents, a place for recreation and social interaction.

In 2012, the Rose Kennedy Greenway Conservancy began the process of creating a strategic plan for its public art program after seeing its potential to spark the city’s imagination, connect neighborhoods, contribute to economic health and inspire civic interaction. The result of this was a five-year strategy entitled Public Art on the Greenway, an initiative to bring innovative art to Boston through free, temporary exhibitions by contemporary artists. The vision for this new program was inspired by four conceptual frameworks: Connection: Projects that unite the segmented parks and connect the individual communities along the Greenway. Interactivity: Projects that engage visitors with the park and one another. Civic Dialogue: Projects that highlight freedom of expression, freedom of speech, diversity, and other civic and community issues. Ecology and the Environment: Projects that deal directly with issues of sustainability and the environment. Already, the new public art initiative is attracting attention. Earlier this spring, the Conservancy unveiled a new installation of twelve bronze animal heads fashioned by famed Chinese artist Ai Weiwei. Circle of Animals/Zodiac Heads represents the twelve traditional figures of the Chinese Zodiac, cast into huge animal heads that weigh upwards of 1,000 pounds. On a worldwide tour with stops in London, Paris and New York, Ai Weiwei’s exhibit is now featured on the Greenway through October 2016. In the park, the sculptures are positioned around the Rings Fountain, where Bostonians are invited to splash and cool off in the summer heat. This exhibit, however, has a more serious side; in creating these sculptures, the artist wanted to highlight the global issue of the looting of cultural antiquities. By featuring contemporary artists like Lawerence Weiner, Carolina Aragon and Gianna Stewart, the Greenway is spearheading Boston’s growing identity as a creative community and an artistic powerhouse.","United States"

"Chris McLeod","As an advertising agency-trained strategic arts marketing consultant who has worked with both companies and government entities such as ExxonMobil and the Department of Defense, I was confident that I had a lot to bring to the Arts world.  I love the Arts and so far I have provided private consulting services to many arts agencies and organizations on matters such as reaching and engaging underserved communities. But what I have valued most is that being a member of Americans for the Arts has helped me utilize my marketing expertise towards projects and initiatives that have enabled me to grow as well as make an impact on people in their everyday lives.
 
My work and passion for marketing led me to be asked to join the faculty of the National Arts Marketing Project (NAMP). Now, in addition to privately consulting with arts organizations I also travel to various cities and meet with groups of arts marketers to share effective solutions for challenges such as building audiences and driving awareness. Doing this work has not only stretched my knowledge of the ever-changing marketing landscape, but it has also made me learn about the social and economic trends that affect how people engage with the Arts in their communities. I am happy and proud to be a member of Americans for the Arts and look forward to working with more arts agencies and organizations, helping them use strategic marketing techniques to successfully enrich, enlighten, and empower their cities and neighborhoods. CLM Marketing is a strategic marketing consulting firm serving businesses and organizations in the areas of Branding, Marketing, and Communications. We provide workshops along with expert analysis and strategic recommendations to do everything from develop a brand to informing the redesign of a website and building effective marketing plans to reach and engage target audiences.  We help clients think like marketers, empowering them with the knowledge and strategies necessary for successful results.","United States"

"Lucy M. F. Keshavarz","From a young age I have always felt that everything is interconnected and that the arts are just as much a part of the human psyche as is science, math and the need for food and shelter. What I love about the folks at Americans for the Arts is they get this. As an artist busy pursuing integrated public art, ecological art and studio work, I rely on Americans for the Arts to help me stay connected to the larger world of art and culture as well as fighting for the arts in the political arena.  Their research, advocacy and programming give me the tools I need to help me stay connected and my work relevant.

Lucy is the President of the Art & Culture Group, Inc., a public art consulting firm in Palm Beach Gardens, Florida, as well as an active artist in the community.","United States"

"Create CA: A Blueprint for Creative Schools","California’s statewide arts education coalition, Create CA, is a new collective impact organization focusing on advancing arts and education through multiple initiatives, partnerships, and projects. These programs include Creativity at the Core—professional learning modules for teachers to incorporate creativity into the Common Core curriculum requirements—and the Arts Ed Data Project, a part of the National Arts Ed Data Project that seeks to gather information on the status and condition of arts education across the country. The data will be analyzed and disseminated by each participating state to support arts advocacy and creative education in state education systems. Their mission is to bring high quality arts education to each California student every day and provide each student with the skills and education to become an essential part of the creative workforce.

Create CA’s most recent project, A Blueprint for Creative Schools, results from the work of over 100 contributors over two years studying the influence of the arts in education at every level. The blueprint lays out a strategic plan for incorporating the arts into curriculum across the state, supported by national data and research. The plan displays the importance of equity and access of arts education, while incorporating the four C’s of 21st century learning into the education policy: critical thinking, communication, collaboration, and creativity.

The seven focus areas of the blueprint include:

Supporting the arts curriculum
Enhancing educator quality, preparation and professional learning in the arts
Producing high quality arts assessment, research, and evidence
Ensuring equity and access
Strengthening collaborative partnerships
Expanding the role of business and industry in the creative workforce
Providing funding for the arts
Some of the recommendations presented by the Blueprint include creating a 21st century model for visual and performing arts standards and curriculum, developing an arts report card public reporting system for school districts, and forming data collection mechanisms to review and address equity and access when implementing the suggested arts policies. These recommendations are just a few of the many recommendations set forth by the Blueprint to improve arts education in California.

On March 3rd and 4th, Create CA and the Fresno County Office of Education co-hosted a new statewide summit on arts, education, and the economy with presentations from local leaders, updates on Create CA projects, and motivating keynote speeches by Yvette Jackson, Nirvan Mullick, and Robert B. Morrison. Multiple sessions were held throughout the two-day summit regarding topics such as collaborative art, incorporation of STEAM, equal access to the arts for students, professional development in the arts, and much more.","United States"

"Shannon Daut","I have long valued my membership with Americans for the Arts. A couple of years ago, Bob Lynch came to Alaska for the National Lieutenant Governors Association meeting, and we at the Alaska State Council on the Arts (ASCA) hosted a variety of community meetings and receptions with him during his visit. One of these meetings was with the director of the Alaska Travel Industry Association (ATIA), where we discussed a Cultural Tourism Resolution that Americans for the Arts presented and had approved by the Lt. Governors Association. Because of this initial work, in the ensuing years ASCA adapted the cultural tourism resolution for the state which was later adopted by ATIA resulting in a cultural tourism chapter in 2015. We now have a framework to strengthen and enhance Alaskas cultural tourism efforts, which would not have happened without our membership!","United States"

"Jason Tseng","I can track most of the most important moments of my career in nonprofits arts with experiences with Americans for the Arts. Whether its live in-person convenings, the exhaustive and accessible research, or their movement building policy work, Ive benefited enormously from the resources made available to me as an Americans for the Arts member. From my first time visiting Capitol Hill as a part of Arts Advocacy Day to the honor of speaking at a plenary session of last years Annual Convention in Chicago, Americans for the Arts has provided a critical space for me to connect with peers in the field, learn from incredible mentors, and find my own voice as a leader.","United States"

"Kaiser Permanente Educational Theatre Program & Oregon Children’s Theatre","Since the early 1980s, Kaiser Permanente, a national nonprofit health care provider, has used its Educational Theatre Program (ETP) to model positive behaviors and healthy decision making to improve the health of the communities it serves across the country.

The use of theatre to inspire and educate children and adolescents to lead healthier lifestyles is so ingrained in Kaiser Permanente’s culture that all of its regions run their own ETP.

One region in particular has seen dramatic increases in its program and has been able to get its key messages in-front of a receptive target audience over the years thanks in part to an 11 year partnership with a respected local theatre company, Oregon Children’s Theatre (OCT).

The Northwest region’s partnership with Oregon Children’s Theatre first began in 2004 after Nancy Stevens, the Northwest region’s Director of Community Benefit, was hired and inherited its dormant ETP. Determined to reinvigorate the program but lacking the theatre experience needed to run it, she sought out the help of Stan Foote, a former Northwest ETP actor, who was working as the artistic director of Oregon Children’s Theatre.  Stan, soon after, proposed that their organizations partner to get the program up and running.

Oregon Children’s Theatre would supply its artistic staff (actors, playwrights, etc.) to produce the shows and would use its existing relationships with schools to bring ETP’s plays to students throughout the Northwest. This partnership allowed the ETP to get its message across to its target audiences, produce original, relevant and high quality shows and to get into schools relatively quickly. Original productions created by OTC for the Northwest ETP were also performed by ETPs in other Kaiser Permanente regions.

Kaiser Permanente in return would provide OCT with the funding the company needed to hire full time actors as teaching artists as well as the funding to travel to schools that were unable to afford to send their students to theatrical productions. The partnership also provided the theatre with visibility and access to audiences that it might have otherwise lacked.

Both ETP Northwest and OCT’s programs have expanded in recent years. OCT visits approximately 175 schools each year and has reached a cumulative audience of more than 270,000 students and families with its health-focused productions since it began offering its ETP programming. OCT has also begun offering intensive artist-in- residence programs in which its actor-educators are embedded in classrooms, creating productions with students, and directing performances by students, for students.

For 30 years, theatre has proven its value in helping Kaiser Permanente promote healthy life styles in the communities the company serves. Kaiser Permanente has even come to view it’s ETP as a way of providing an additional benefit to its communities. OCT also gets the morale boost that comes from using its theatrical skills to promote the public good","United States"

"Rachna Sheth","Americans for the Arts and I share a common vision: we both see arts as the solution. The value of art in our everyday lives is what brought me to my job as Marketing and PR Coordinator at Silk Road Rising, where I was a patron before I was an employee. As someone with artistic and arts education training who is new to arts marketing, I am especially grateful to Americans for the Arts for awarding me with a Field Diversity Scholarship Award to attend the National Arts Marketing Project Conference (NAMPC) 2015 and further my professional development. The sessions provided me with a framework to accomplish my goals. They helped to light the path between where I am and where I want to be. NAMPC encouraged me to ask more questions, even when the questions are difficult ones. How can we reach new audiences? How can we feel less intimidated by Google Analytics? How do we, as a theatre company that counters negative representation, continue conversations about disparity that actually lead to action? The conference provided me with a springboard to begin meaningful conversations and rekindled my passion for the arts.

When you are part of a small non-profit arts organization, wrapped up daily in the particulars that bring performance art to the stage, sometimes you forget you’re also part of a much larger arts community where there are people who have been in your shoes and whom you can learn from. NAMPC allowed me to network and develop my arts leadership skills and reminded me the importance of nurturing relationships. Moreover, it gathered leaders and movers and shakers in the arts marketing community under one roof so we could all see that yes, our goals are attainable. So while we are in our offices and communities doing our parts, it’s good to know that Americans for the Arts is out there on a national level, advocating for the arts so that we continue to have a place in the bigger picture, so people know that our everyday work is valuable and contributes to the betterment of the health and the enrichment of the lives of many Americans.","United States"

"Wormfarm Institute","Every fertile grain of soil, according to Charles Darwin, has passed at least once through the gut of an earthworm.  These literally subversive creatures have inspired cofounders Donna Neuwirth and Jay Salinas to explore what it takes to create a fertile environment - both in the dirt and in the arts.  Formed in 2000 as an artist residency program located on a working farm, the Wormfarm Institute has expanded programs regionally to connect urban and rural, people and land, culture and agriculture.

Fermentation Fest – A Live Culture Convergence is the most high-profile project. Each October this rural farming community celebrates live culture in all its forms from dance to yogurt, poetry to sauerkraut. Its signature feature is the Farm/Art DTour a 50-mile self-guided drive through scenic working farmlands of Sauk County, WI, punctuated with temporary art installations, pasture performances, roadside poetry and more. It draws thousands from both urban and rural areas to take a fresh look at farmland and see what else might be growing.

Fermentation is about abundance and transformation says Executive Director Neuwirth   from grain to beer, milk to cheese,  cabbage to kimchi - we take the season’s abundance and through a series of timely actions, ancient wisdom and natural processes, make it last. It’s also a rich metaphor for community transformation.

Community support has been broad and deep with county government, chambers of commerce, agriculture, tourism and economic development all playing significant roles. The small towns that the DTour passes though can’t ignore the economic impact and new arts organizations have formed.

Co-founder Salinas adds Fermentation Fest is an ambitious project. It has only been possible because we’ve been building fertility slowly over many years. The work began, and continues with our artist residency program. Every year we witness artists experience the parallels between making art and growing food, and how involvement in one feeds the other.

Along the 50 mile DTour, art amplifies existing assets and creates dynamic new relationships across diverse sectors. Farmers, artists, writers, conservationists, chefs, and educators through their varied perspectives and abilities contribute to a thriving rural culture that inspires more cultural activity, attracts travelers, draws new residents, provides economic growth, builds pride of place, and serves as a model for other rural communities. By revaluing the role of the farmer and the artist, expanding both the reach of and the appetite for the arts, Fermentation Fest increases collaboration across sectors. This polycultural approach can raise the profile and the allure of agricultural regions as places where important work is done, where creativity can and does flourish, and where livings - in the truest sense - can be made.

Neuwirth elaborates: We find ourselves at a moment in time when rural places are being reconsidered and revalued. Interest in sustainable and local food is growing quickly. Urban folks are hungry to deepen their connection to the land and technology has helped break down rural isolation. Across disciplines and geographies, we are part of a growing movement creating a new narrative of rural experience.

Rural America is undergoing a period of dramatic cultural and demographic change. Such developments call for our attention and creative action. For thousands of years farmers in cultures around the world interwove dance, music, and art through rituals of planting and the harvest in celebration of the land and those who care for it. Our hybrid projects present an opportunity reach thousands of people – and to do what art alone can do - inspire and open doors to new ways of seeing.","United States"

"Felix Padrón Director, City of San Antonio, Department for Culture & Creative Development","Being a member of Americans for the Arts is a valuable asset because it is the only advocacy organization in the country that is championing a diverse portfolio of cultural issues and initiatives to ensure that all Americans connect to the arts in a meaningful way. In the areas of arts education, the critical role the arts play in community development, as well as health and wellness with a great focus on well being of our military, and public support for the arts. Americans for the Arts also plays a key role in developing public and private strategic partnerships to build a stronger voice for the arts, providing key research to support better positioning that the arts are an economic strength.  Lastly, Americans for the Arts plays a strong role in professional development by providing training and research to the field.

It has given me greater access to a dynamic group of professionals and thought leaders that are as equally passionate about the arts as I am.  It has also expanded a much broader perspective on the complex cultural context we operate in. I think that it has really helped shape my conversation to where it is more informed and robust. Understanding the issues that stem from a broad national understanding and perspective.  It also gives me a higher-level credibility when having those conversations, specifically in a political environment or when tough issues are being debated.  Especially in an advocacy context, having Americans for the Arts by your side is a tremendous asset when talking to our federal, state, and local political leaders. It really makes a positive impact.","United States"

"Jon Hinojosa","As the Artistic & Executive Director of SAY Sí, an award-winning creative youth development program for students in San Antonio, TX, I work collaboratively with a committed team to change young lives through art. At first glance, it would seem like we are simply teaching our students how to make art. But upon further inspection you'll see that we're working with our youth to develop skills in thinking and leading creatively. Reciprocal learning is the foundation of our program, and we use that mindset in the work that we do outside of SAY Sí as well. Through Americans for the Arts' creative network, my staff and I get to work with artists, arts administrators, and lawmakers to meet national standards of excellence, and then raise those standards. As an Americans for the Arts member, I have been given more opportunities to lead, teach, share, and learn. The biggest part of (all of) our success lies in collaboration. Americans for the Arts acts as a bridge for that collaboration.","United States"

"Jackson Hole Public Art","Through August 19-21, 2015 the community of Jackson Hole, Wyoming is welcome to participate in an event along North Cache Street, a major roadway connecting downtown Jackson Hole to the country’s National Parks. The event - which will feature interactive art installations, performances and food vendors- will allow members of the community to interact, test, and provide input on public art prototypes proposed for the roadway. They can submit feedback by way of a Mobile Design Studio, a trailer stationed at the location and retrofitted with iPads, laptops, and design boards to enable community engagement.

The North Cache Place of Possibility event (North Cache POP) will be the second creative placemaking event hosted by Jackson Hole Public Art, the community’s public art program. Additonally, several future creative placemaking exercises are scheduled to occur across the community where capital improvement projects are planned. POP events are designed to transform every day locations, to get members of the community to think about how they interact in and use space, and are designed to encourage the community to reimagine these locations for what they can be as places of infinite and unrealized possibility.

These events are one of the many ways Jackson Hole Public Art keeps its residents at the center of its public art and creative placemaking efforts. As an organization that’s committed to enhancing public space by integrating art that celebrates the community’s unique environmental and cultural heritage, it understands that the culture of the community is inextricably tied to the people who live there and it relies on its interactions with the public to make sure those values, stories, and cultural traditions are captured or represented in the artwork it commissions. To help facilitate conversations around community planning and development Jackson Hole Public Art focuses on design as seen with the creation of POP events and the Mobile Design Studio.

This focus on design allows for more authentic interactions with the community and can also be seen in the organization’s work with youth especially in the launch of its Building STEAM program. The Building STEAM program uses public art design to engage youth as they learn key concepts associated with S.T.E.M. (Science, Technology, Engineering, and Math). The incorporation of design adds an artistic component or the A, creating S.T.E.A.M.

Building STEAM was developed after Bland Hoke, the current public artist on staff, identified an opportunity to work with high school students participating in fabrication labs at Jackson Hole High School. During weekly interventions in the labs, Hoke assisted with teaching the students 21st Century skills (communication, collaboration, critical thinking, and creativity) and empowered the students to think about creative solutions to the design and construction of public art projects. They focused on the teen wing of the town’s local library and public seating for a vertical greenhouse in the community. This work not only allowed the students to apply what they learned to the real world, but also they were able to play a role in improving their community - making it more vibrant and appealing to fellow community members who would use these spaces.  

Another way Jackson Hole Public Art keeps the community and the artists at the center of its creative placemaking efforts is through its new public artist on staff program. The public artist on staff assists in orienting artists from outside the community into the local culture to nurture their understanding of the town by introducing them to the cultural traditions, stories, and values of the community. This program, in turn, helps the artist create authentic works that are representative of the community’s identity and unique cultural heritage.   

By providing opportunities for youth and residents to get involved with community planning, Jackson Hole Public Art is not only creating and commissioning public art for the people for their community, but also is increasing the public’s access, understanding, and investment in public art in their town. With more than a dozen unique prominent public art installations, Jackson Hole Public Art has also positioned the community’s public art collection as an economic driver in terms of cultural tourism. It provides visitors visual clues to the community’s cultural identity with an authentic experience unique to the town.","United States"

"Leon Kuehner","'The impact that Americans for the Arts has had on the work of the Iowa Alliance for Arts Education (IAAE) is phenomenal. The information, guidance, and support that Americans for the Arts has provided IAAE has enabled us to strengthen our position as an arts advocate and broaden our scope to affect positive change in the arts climate in Iowa. Since becoming Executive Director, the Americans for the Arts staff has been so helpful to me personally. The networking opportunities that have been provided are invaluable. As I grow in this position, it is very reassuring to know that Americans for Arts is available to assist me in any way that is needed.'

Leon Kuehner has been an arts educator in Iowa for 40 years.  His leadership positions have included president of the Iowa Bandmasters Association, state chair of the American School Band Directors Association, chair of the Iowa Alliance for Arts Education and president of the Iowa High School Music Association Executive Board.  He also chaired the model unit fine arts writing team for Iowa Core. He was named an Outstanding Music Educator for the State of Iowa, and awarded the Karl King Distinguished Service Award by the Iowa Bandmasters Association. In 2012, he was awarded the National Citation Award for contributions to music education by the National Federation of High School Associations.  In 2013, he became Executive Director of the Iowa Alliance for Arts Education after serving as an executive board member for 15 years.","United States"

"Allied Arts","Allied Arts is Oklahoma’s only United Arts Fund (UAF), and is dedicated to raising financial support and advancing the arts in central Oklahoma. Since 1971 Allied Arts has raised more than $54 million in support for the community’s arts and cultural organizations. It funds 64 agencies whose work impacts more than 1 million people annually.

Similar to other UAFs, Allied Arts employs a cross-sector approach, rallying the community’s corporations, foundations, and residents to support the arts using a combination of persuasive messaging, storytelling, and testimonials that express the transformative power the arts to the local economy. Members of the business community and community at large can then provide support by donating or participating in any number of Allied Arts’ innovative and engaging individual/corporate donors or employee giving programs.

Allied Arts then distributes the funds by way of grants to its 26 core member agencies and other grantees. These organizations represent a diversity of disciplines ranging from the visual arts, theatre, and dance to local arts agencies as well as historical and heritage based organizations. Member agencies include: the Arts Council of Oklahoma City; the Individual Artists of Oklahoma; Oklahoma City Ballet and the Opry Heritage Foundation of Oklahoma.

During its 2014 campaign, Allied Arts raised a record breaking $3.5 million, the most the organization has ever raised in its 44 year history. Jennifer Hidalgo Bryan, Allied Arts’ Campaign and Grants Director, credits the work of their member agencies and the surrounding community saying, “We are very fortunate to live in a city whose residents understand the impact a dynamic cultural landscape has on economic development and quality of life.” She points out that Allied Arts’ success is directly related to the quality programming, broad community outreach, and innovative educational experiences provided by its member agencies and grantees.  The campaign’s success is also rooted in strong partnerships with the business community. Jennifer underscores that, “corporate support validates the credibility of any nonprofit, demonstrating to the general public that the nonprofit does meaningful work and is worthy of financial and volunteer support.” 

So what are some tips Allied Arts offers arts organizations forging partnerships with the business community?

Ensure that the partnership is a two-way street and always keep businesses informed of the impact they are making.
Offer meaningful opportunities for employee engagement for all the businesses employees.
Provide a service to businesses y helping raise awareness about the city’s robust cultural offerings.
Be open to learning from the expertise and skill sets of business employees and applying some of that learning to the business of the arts.

Through this successful joint community effort, Allied Arts is able to fulfill its goal of ensuring that the arts & cultural groups in their community have the resources they need to remain strong, reach underserved populations, and offer quality programming to the public.

Kristen Bromley, Allied Arts’ Marketing and PR Manager, shares a story of how one student living with his single mother and grandmother had to take the role of being “man of the house” very seriously, but had always dreamed of playing guitar. The family was unsure if that dream could ever be made a reality, but then they found Granville Community Music School. Thanks to the support through Allied Arts, Granville Community Music School offers music lessons for 50 cents to low-income families. Since joining Granville, he has not only learned to play the guitar, but he has also grown into a happy, confident young man. Now he is no longer afraid of speaking in front of crowds, is doing better in school, is making friends and was also accepted into a fine arts charter school. Now, the young man would also like to start teaching beginning guitar to students of his own!

“It is a privilege to represent the needs of our arts organizations and be a part of the incredible work they do every day to enhance the quality of life for those in our city,” says Kristen. “We use stories from the agencies that we fund to show the transformative power of the arts in individual lives and in entire communities.”

In the next five years Allied Arts has a lots of big plans for raising funds and awareness for their work, all aimed at better serving the needs of the cultural community. In addition to increasing donor diversity and effectively integrating technology into fund- and friend-raising, Allied Arts seeks to grow their endowment in order to achieve the long-term goal of fully funding their operations so that 100% of campaign donations can be granted to strengthen the arts in their community.","United States"
