Additional Info,Address,ArtBridging Section,Arts Focus,Facebook,Languages,Linkedin,Main Catchment Area,Main Communities Served,Main Community-Engaged Arts / Arts for Social Change Activities,Main Contact Email,Main Contact Name,Mandate/Mission,Organization Name,Phone,Profile URL,Secondary Address,Secondary Contact,Status,Twitter,Website
,"5553 Bloomfield st
Halifax, NS  B3J 1S7",,Arts Community Leadership and Professional Development,https://www.facebook.com/YouthArtConnection/,"English, French, Mainly English, staff speak French and collaborate with Francophone facilitators/artists",https://www.linkedin.com/in/ryan-veltmeyer-944b771a,"Nova Scotia, Nova Scotia based, with activities throughout Canada","Children, Youth, Aboriginal, African Canadian, Newcomers, LGBTQ","Building identity, self expression, project management and career/life skills in youth from marginalized backgrounds. Opportunities for youth who otherwise wouldn't have them. Leadership development through creative skill and network development and opportunities.",ryan@youthartconnection.ca,"Ryan Veltmeyer, Co-founder & Executive Director",Youth Art Connection supports youth to make positive change in their lives through the power of the arts.,Youth Art Connection,902-446-8832,http://artbridges.ca/community/profile/412,"5553 Bloomfield st
Halifax, NS  B3J 1S7","Ann Denny, Co-founder/Executive Director","Art Hive, Charity, Non-profit, Program, Resource",https://twitter.com/youthartconnect,http://www.youthartconnection.ca
"We try to serve a wide range of Yukoners by having programming that addresses families, seniors, youth, First Nations, Francophone, etc and by extending our reach past Whitehorse.","300 College Dr
Whitehorse, YT  Y1A 5X9",,"Visual Arts, Performing Arts",,"English, French",,"Yukon, Whitehorse","Adults, All Ages, Children, FNMI, Seniors, Youth","The Yukon Arts Centre (YAC) is a not for profit charitable organization dedicated to the development of the arts as an important cultural, social and economic force in the Yukon. We intend to be model for the development of the arts in the North and a stimulus for a vibrant and creative territory.",info@yac.ca,"Al Cushing, CEO",YAC is the territoryâ,Yukon Arts Centre / Le Centre des arts du Yukon,(867) 667-8575,http://artbridges.ca/community/profile/256,"Box 16
Whitehorse, YT  Y1A 5X9","Jessica Vellenga, Gallery / Visual Arts Programming","Non-profit, Program, Resource",,http://yukonartscentre.com
,"220 Oak Street
Toronto, ON  M5A 2E1",,Pottery,,English,,"Ontario, Toronto","Seniors, Youth","Pottery, wheel and hand-molding.",Alexandraelliott@rogers.com,"Alexandra Elliott, Coordinator","To provide an open and supportive environment that uses pottery to foster creative thinking, self reliance and entrepreneurship.",220 Oak St. Potters,(416) 686-0208,http://artbridges.ca/community/profile/4,,,"Non-profit, Project",,
,"PO BOX 31119
Halifax, NS  B3K 5T9",,"Community building arts-based projects, Placemaking, Art Bikers program",https://www.facebook.com/pages/4Cs-Foundation/484207991592449,English,,"Nova Scotia, Communities within the Halifax Regional Municipality, NS only","All Ages, Children, Youth","1. Grants for community arts and arts-based community development projects. These projects bring children and other community members together to collaborate side-by-side in creating an artwork/artworks. Professional artists are a catalyst for the community in exploring possibilities of creating artwork that often reflects the stories, interests, issues or concerns of the &quot;community of participants/contributors&quot; in 4Cs projects. In 4Cs projects, the time spent creating together fosters lasting connections between the children and community members. The creation of these connections between children and others(which also strengthen the overall community) is the main goal of 4Cs projects.<br />


<br />


2. The 4Cs Art Bikers program - a community arts summer outreach program delivering free arts-based activities that open up a world of creativity, connection, and fun for children and other community members. The Art Bikers team are artists and artisans trained in community arts facilitation who ride bicycles pulling trailers full of artmaking materials to neighbourhoods and public areas throughout HRM to offer the program. The Program runs from May to September each year.<br />


<br />


3. Community capacity building through offering training workshops and by connecting and supporting individuals interested arts-based community development/ facilitating community arts projects and programs. We do this through Arts Engage! training and by hosting the Community Arts Circle network.",info@4csfoundation.com,"Terri Whetstone, Executive Director","The mandate of the 4Cs Foundation is to build connections between children and their communities through arts projects in the Halifax Regional Municipality, Nova Scotia, Canada.",4Cs Foundation: creative connections between children and their communities,(902) 422-4805,http://artbridges.ca/community/profile/5,,,"Resource, Grant-giving private Foundation",,http://www.4csfoundation.com/
,"91 Main St.
Kagawong, ON  P0P1J0",,"Environmental Arts, Land and Place-based Art, Installation Art",https://www.facebook.com/4elementslivingarts,English,,"Ontario, Manitoulin Island","Adults, All Ages, Children, FNMI, Seniors, Youth, Schools","Environmental Arts, land art installations, curatorial art projects, and land art institute.",chair@4elementslivingarts.org,,"4elements Living Arts is a multidisciplinary, cross-cultural, non-profit arts organization on Manitoulin Island. We investigate and integrate relationships between landscape, creativity, and community, through research, arts creation, and community cultural and economic development. We are an Ontario registered non-profit arts organization and became established in 2002 on Manitoulin Island. We facilitate and coordinate community art workshops and events Island-wide.",4elements Living Arts,705-282-0444,http://artbridges.ca/community/profile/338,,,Non-profit,https://twitter.com/4eLivingArts,http://www.4elementslivingarts.org
"Instagram @7thgenerationimagemakers

https://www.instagram.com/7thgenerationimagemakers","655 Bloor Street West
Toronto, ON  M6G 1L1",7th Generation Image Makers integrates a cultural world view with contemporary arts practice. Its goals this year are to expand their new media resources and workshops because of demand from program participants.,"7th Generation Image Makers started off as a mural company and expanded to include a range of media arts, visual and traditional arts.",https://www.facebook.com/NYRCNativeYouth,English,,"Ontario, The catchment area for 7th Generation Image Makers is the GTA (Greater Toronto Area).","FNMI, Youth","The program focuses on the cultural and artistic identity of the youth participants. The program provides art workshops facilitated by emerging and established by artists that include traditional crafts, sculpture, drawing, mural making and new media. The program aims to promote and amplify youth perspectives and visual presence around the city. The general model combines extensive arts programming within a drop-in studio environment, with additional outreach workshops in different venues.",rkennedy@nativechild.org,"Reagan Kennedy, Arts Program Coordinator",7th Generation Image Makers is a community arts program under the auspices of Native Child and Family Services of Toronto. The program was founded in 1995 by local Anishnawbek artist Maria Hupfield through the NCFST youth department. The programâ,7th Generation Image Makers,(416) 969-8510 ext. 4110,http://artbridges.ca/community/profile/6,,,Program,,http://www.nativechild.org/youth/7th-generation-image-makers
,"918 Bathurst Street
Toronto, ON  M5R 3G5",,"Visual art, media art, theatre, dance, music, science, film, puppetry, circus.",,English,,"Ontario, Annex","Adults, All Ages, Children, FNMI, Seniors, Youth, Newcomers, Artists, Musicians, etc.","918 Bathurst is a multi-purpose arts center and events venue. Gallery 918 is both a for-rent exhibition space as well as a gallery showcasing curated work selected to promote a variety of cultural initiatives from around our community, Toronto and Canada at large.",info@918bathurst.com,"Judy Josefowicz, General Manager","The Centre facilitates, presents and provides a nurturing space for projects, classes, workshops, exhibitions and performances that serve the artistic, creative, intellectual, professional and personal development of individuals and organizations in Toronto.","918 Bathurst Centre for Culture, Arts, Media & Education",(416) 538-0868,http://artbridges.ca/community/profile/7,,"Sean Lehane, Director",Non-profit,,http://www.918bathurst.com/
The A-Zone is really good at outreach. Staff go out each night with their bus and pick up 100 kids from 9 surrounding communities. There is a problem with accessibility because most kids canâ,"15 Everett Street
Moncton, NB  E1C 3Z6","Boys and Girls Club of Moncton is interested in partnering or doing outreach with other community arts initiatives. As it is an established community arts program, it is interested in sistering/linking with other emerging/established intiatives to share information with.","The arts disciplines offered are music, dance, drama, photography, movie making, creative writing, painting, and drawing.",,"English, French",,"New Brunswick, 9 communities including low income housing areas in Moncton","Children, Youth, Ages: 6-18","It has a permanent art studio within a building that the Boys and Girls Club owns. It is a drop-in. It offers registered classes, which are free. It has many events and art shows.",daniel.leblanc@bgcmoncton.com,"Daniel LeBlanc, Executive Director","To provide a safe, supportive place where children and youth can experience new opportunities, overcome barriers, build positive relationships and develop confidence and skills for life.",A-Zone / Club de GarÃ§ons et Filles/Moncton Boys & Girls Club Inc.,(506) 853-7356,http://artbridges.ca/community/profile/56,,,Program,,http://www.bgcmoncton.com
"Community members of the Nipissing First Nation, North Bay and the surrounding area. Of special focus are Aboriginal and intergenerational participants. First Nation: Anishinabe, Mohawk, Sto:lo


Brief History:

Aanmitaagzi has grown from a convergence of the personal and professional histories of its core members, while remaining true to the initial vision of its co-founders, Penny Couchie and Sid Bobb. When Penny and Sid moved to Penny's ancestral home of Nipissing First Nation in 2006, they welcomed the possibility of living and working as professional artists to support a thriving arts community in Nipissing and the surrounding communities. They recognized the benefits of developing and maintaining relationships and partnerships with like-minded groups, and the potential for Nipissing to become a home for research, development, and the creation of new works in dance, theatre, and cross-disciplinary arts with both professional and community artists.


Following the success of their first community engaged arts project, Stories of Nipissing, and with positive feedback and support from the community, Penny and Sid formed the Aanmitaagzi Collective with Carol Guppy and Perry McLeod Shabogeesic in 2008. In 2009, after conducting strategic outreach in Bear Island / Temagami, Sherry Guppy and Bonnie Couchie also joined the company. Identifying the need for a strong organizational foundation for the future of the company, Aanmitaagzi sought out capacity building initiatives, including a mentorship in organizational development with Ruth Howard of Jumblies Theatre funded through the OAC Compass program and Canada Council for the Arts' Capacity Building program. Aanmitaagzi incorporated as a provincial, not-for-profit organization in October 2010, and continues to engage the local community through multi-disciplinary and multi-generational arts activities and cultural events.","161 Couchie Memorial Drive
North Bay, ON  P1B 8G5",,"Multi-arts: dance, theatre, visual arts, song, videography and interdisciplinary collaboration",,English,,"Ontario, Nipissing First Nation, North Bay and the surrounding areas.","Adults, All Ages, Children, FNMI, Seniors, Youth, Community members of the Nipissing First Nation, North Bay and the surrounding area.",,aanmitaagzi@gmail.com,"Penny Couchie, Co-Artistic Director","Aanmitaagzi is a multi-disciplinary professional artist-run company serving artists and community members from Nipissing First Nation and the surrounding area, and linked to provincial and national networks. We are committed to fostering a vibrant arts community in Nipissing, nurturing traditional Aboriginal arts practices which span a middle ground between professional and community arts, and exploring how we can carry forward our traditional practices in a meaningful contemporary context. Aanmitaagzi combines art making, education, professional development & social activism.


Vision: We believe that through the arts we can...

- transcend everyday communication

- impact our community in a powerful and meaningful way

- share, celebrate, express and recover our culture

- provide a forum for elders to tell their stories

- engage youth with their communities and traditions

- assist people to discover, explore and express their voices

- foster greater dialogue amongst people of all ages and backgrounds

- imagine and create the community in which we want to live

- forge a healthier relationship with our Canadian neighbours


Values: Our art

- includes all ages: children, families, youth, elders, adults

- is comfortable in dedicated arts spaces and around the kitchen table

- happens indoors and outdoors and responds to the cycle of seasons

- is rooted in collaboration, tradition and exploration

- respects and nurtures artistic skills, abilities and expertise

- welcomes all abilities, experience and confidence levels and interests.",Aanmitaagzi,(705) 474-2227,http://artbridges.ca/community/profile/8,,"Sid Bobb, Co-Artistic Director",Non-profit,,http://www.aanmitaagzi.net
,"62 Sutcliffe Road
Madoc, ON  K0K 2K0",0,Aboriginal Art & Traditional Craft,https://www.facebook.com/passthefeather,English,https://www.youtube.com/channel/UCgn3zCV6_UA8fPzvetdVldQ,Canada-wide,"All Ages, FNMI","Pass The Feather Classroom Art & Knowledge Exchange Program is open to all federally and provincially funded classrooms.  On-reserve classrooms from grades 5-8 are paired with peers in the public school sector. 


Pass the Feather employs home makers, disabled and logistically and financially challenged artists and crafters to produce product for fundraising sales. All on-reserve artists are able to apply.


We also have a free website where FNMI artists can post their bio, pictures and contact info.",contact@passthefeather.org,"Dawn Setford, Executive Director","Our program seeks to protect endangered Aboriginal arts and their makers, employ logistically and financially challenged artists and empower the next generation of artistic leaders. 


We believe that access to to quality programming and infrastructure is key to changing economically and logistically vulnerable Aboriginal artists and craftspeople. Appropriate spaces creates community engagement and facilitates the transfer of cultural knowledge to the next generation.


Our Classroom Art and Knowledge Exchange Program creates exciting friendships between Aboriginal students and their peers in non-Aboriginal or multi-cultured classrooms via a pen pal and art exchange program.


The exchange program enables educators to approach First Nations culture via transparent lesson plans and creates informed opinions of First Nations culture in Canada.",Aboriginal Arts Collective of Canada | Pass The Feather,,http://artbridges.ca/community/profile/414,,,"Artist Collective, Non-profit, Program, Classroom Art & Knowledge Exchange Program",https://www.twitter.com/passthefeather,http://www.passthefeather.org
,"624 rue LÃ©onard
Saint-Eustache, QC  J7R 6J5",,"Chant, Art visuels, Arts du cirque, Danse, LittÃ©rature, Multidisciplinaire, Musique, ThÃ©Ã¢tre",https://fr-ca.facebook.com/Academiedesartstrouvetavoie/,French,,Quebec,"All Ages, Dis/Abilities, Personne ayant une dÃ©ficience intellectuelle, phsyique, un trouble du spectre de l'autisme, TDAH",Lâ,info@trouvetavoie.com,"Joelle Dore-Hebert, Directrice",Lâ,AcadÃ©mie des arts Trouve ta voie,14509901035,http://artbridges.ca/community/profile/544,,,"Art Hive, Charity, Non-profit, Program, Project",,http://www.trouvetavoie.com
,"2nd Floor, 290 McDermot Avenue
Winnipeg, MB  R3B 0T2",,Contemporary art,,"English, French",,"Manitoba, Winnipeg","Adults, FNMI, Seniors, Emerging artists and cultural producers from all backgrounds",,gallery@aceart.org,"Hannah Godfrey, Program Coordinator","aceartinc. is an Artist Run Centre dedicated to the development, exhibition and dissemination of contemporary art by cultural producers. aceartinc. maintains a commitment to emerging artists and recognizes its role in placing contemporary artists in a larger cultural context. aceartinc. is dedicated to cultural diversity in its programming and to this end encourages applications from contemporary artists and curators identifying as members of GLBT (gay, lesbian, bisexual and transgendered), Aboriginal (status, non-status, Inuit and MÃ©tis) and all other culturally diverse communities.",Ace Art Inc.,(204) 944-9763,http://artbridges.ca/community/profile/10,,"Jamie Wright, Gallery Coordinator","Artist-run Centre, Non-profit",,http://www.aceart.org
,"1-1109 Front Street
Whitehorse, YT  Y1A5G4",,"Dance, Media Arts, Multidisciplinary, Music, Theatre, Visual Arts",https://www.facebook.com/adakafestival/,English,,Yukon,"Adults, All Ages, Children, Dis/Abilities, FNMI, Seniors, Youth","The AdÃ¤ka Cultural Festival features close to 250 performing artists, 80 visual artists and 35 knowledge keepers, presenters, and film makers. 



With a capacity of 400 people, the Festival main stage presents 42 hours programming including traditional dance and drumming, fiddling and jigging, film screenings, a cooking show, storytelling, award winning singer/songwriters, as well as film screenings. Over 35 cultural presentations are offered throughout the week. The presentations attracted a wide range of audiences, on such subjects as; traditional watercraft of the north, traditional languages, land-based culture, traditional watercraft, Regalia, the spirit of plants, contemporary indigeneity, and Dene Hand Games.",info@adakafestival.ca,"Alexis Hougen, Marketing Coordinator","The AdÃ¤ka Cultural Festival was launched in July 2011, with a mission to develop and deliver a world-class, iconic festival that showcases, celebrates, and fosters the development of Yukonâ",AdÃ¤ka Cultural Festival,8676677698,http://artbridges.ca/community/profile/510,,"Charlene Alexander, Executive Director","Annual Festival, Non-profit",,http://www.adakafestival.com
,"Calgary, AB",,Arts et cultures tout inclus (Apolitique),,French,,"Alberta, Les AmÃ©riques","Adults, All Ages, Children, Seniors, Youth, Portes ouvertes Ã  tous (Jeunes, AÃ®nÃ©s, africains francophones et francophiles en gÃ©nÃ©ral, etc.)",Nous sommes un vitirine sur les activitÃ©s des communautÃ©s africaines en AmÃ©rique du Nord.,didiergangoma@afrikamerik.com,"Didier Gangoma,",Promouvoir les arts et cultures africains francophones issues des communautÃ©s africaines en AmÃ©rique du Nord.,AfrikamÃ©rik,(403) 923-8960,http://artbridges.ca/community/profile/12,,"Lina Racine, AfrikamÃ©rik (MontrÃ©al)",Resource,,http://afrikamerik.com/
Project profile: Cross â,"Suite 215, 1000 King Street West
Toronto, ON  M6K 3N1",,"Visual arts, media arts, theatre",http://www.facebook.com/XGENConversations,"English, Spanish, South Africa Zulu, Xhosa",,"Ontario, Based in Toronto. Projects based in Toronto, Niagara, and South Africa","Adults, All Ages, Children, Seniors, Youth, Newcomers","Main art projects: In Canada we are running Cross-Generation Conversations (Niagara) and The World of AAC (North Yorkers Disabled Persons, Toronto)

Main arts activities: To facilitate the accessibility of theatre, and art as powerful forces for change, particularly to those in marginalized communities. To work on artistically challenging projects where community and cultural dialogue remain at the core.We also conduct evaluations and/or research in collaboration with all of our community partners to monitor and evaluate effectiveness, improve knowledge translation, and inform the work of stakeholders.",stephen@adcid.org,"Stephen Sillett, Executive Director","Dramatic Change is a non-profit organization working to empower communities in Canada and abroad through participatory arts processes reflecting the culture, desires, and life experiences of the people in the community.",Aiding Dramatic Change in Development,(416) 823-4957,http://artbridges.ca/community/profile/13,,"Jennifer Jimenez, Executive Director",Non-profit,,http://www.adcid.org
,"Toronto Western Hospital 3rd Floor, West Wing 399 Bathurst Street (at Dundas)
Toronto, ON  M5T 2S8",,All arts disciplines,,English,,"Ontario, Toronto","Adults, Seniors, Youth",The Al and Malka Green Artistsâ,bryan.croft@uhn.ca,"Bryan Croft, Coordinator","Our vision is to have a positive impact on the overall health and wellbeing of professional creative and performing artists.

Our mission is to advance local, national and international standards of excellence in health care for professional artists through our activity in:

â",Al and Malka Green Artistsâ,416-603-5263,http://artbridges.ca/community/profile/281,,,"Clinic, Health Centre",,http://artistshealth.com
,"12014-127 Street
Edmonton, AB  T5L 0Z4",,"All arts, but specializing in performing arts (theatre, dance, music)",,"English, We have supported performances in Indigenous languages (Cree, Anishanbee)",,"Alberta, Edmonton","FNMI, Seniors, Aboriginal artists, locally, provincially, nationally and internationally","Annual Rubaboo Arts Festival, dance and theatre performances, development of new works.",albertaaboriginalarts@gmail.com,"Christine Sokaymoh Frederick, Artistic Producer",To promote and provide a platform for Aboriginal artists to perform or showcase their work.,Alberta Aboriginal Performing Arts Association,(587) 989-6838,http://artbridges.ca/community/profile/14,,"Ryan Cunningham, Artistic Director",Non-profit,,http://www.albertaaboriginalarts.com
,"P.O. Box 2398
Wolfville, NS  B4P 2S3",,All Arts,,English,,"Nova Scotia, Annapolis Valley, Nova Scotia","Adults, Dis/Abilities, Youth, Children and youth with special needs and learning disabilities",Provide integrated arts activities â,kp@alexandersociety.org,"Kathleen Purdy, Director","To enhance the cognitive, physical, social and emotional life of children and youthÂ through engaging in the arts.",Alexander Society for Inclusive Arts,(902) 582-3888,http://artbridges.ca/community/profile/15,,,"Charity, Non-profit",,http://www.alexandersociety.org
,"P.O. Box 568
Iqaluit, NU  X0A 0H0",,"Music, dance, circus, storytelling, theatre, film, visual arts",,"English, French, Inuktitut",,"Nunavut, Iqaluit","Adults, All Ages, Children, FNMI, Seniors, Youth, Entire community (all ages, all cultures)",Alianait Arts Festival and year round concert programming and workshops featuring Inuit culture.,heather@alianait.ca,"Heather Daley, Executive Director","To educate and advance the public's understanding and appreciation of the arts, and to help build a healthier Nunavut through the arts.",Alianait Arts Festival / Alianait Entertainment Group,(867) 979-6000,http://artbridges.ca/community/profile/16,,,"Annual Festival, Charity, Non-profit",,http://www.alianait.ca
